,project_owner,project_name
0,tensorflow,tensorflow
1,pytorch,pytorch
2,golang,go
3,rust-lang,rust
4,huggingface,transformers
5,vuejs,vue
6,angular,angular
7,flutter,flutter
8,rails,rails
9,microsoft,vscode
10,kubernetes,kubernetes
11,cocos2d,cocos2d-x
12,nodejs,node
13,mgonto,restangular
14,XVimProject,XVim
15,novus,nvd3
16,umano,AndroidSlidingUpPanel
17,aheckmann,gm
18,mleibman,SlickGrid
19,gotwarlost,istanbul
20,silexphp,Silex
21,erikras,react-redux-universal-hot-example
22,oklai,koala
23,google,web-starter-kit
24,BradLarson,GPUImage
25,torch,torch7
26,jessesquires,JSQMessagesViewController
27,google,traceur-compiler
28,jasperproject,jasper-client
29,facebook,react-devtools
30,vitalets,x-editable
31,YePpHa,YouTubeCenter
32,RubyLouvre,avalon
33,tjanczuk,edge
34,lecho,hellocharts-android
35,esvit,ng-table
36,Shopify,dashing
37,Prinzhorn,skrollr
38,vysheng,tg
39,yeoman,generator-angular
40,horst3180,arc-theme
41,mgcrea,angular-strap
42,cyfdecyf,cow
43,seajs,seajs
44,Swiip,generator-gulp-angular
45,google,material-design-lite
46,danialfarid,ng-file-upload
47,componentjs,component
48,PHPOffice,PHPExcel
49,sahat,satellizer
50,deployd,deployd
51,thinkaurelius,titan
52,almende,vis
53,docker,machine
54,metafizzy,packery
55,Zizaco,entrust
56,iissnan,hexo-theme-next
57,Semantic-Org,Semantic-UI
58,yhat,rodeo
59,Automattic,kue
60,FineUploader,fine-uploader
61,imathis,octopress
62,irungentoo,toxcore
63,adam-p,markdown-here
64,JakeWharton,ActionBarSherlock
65,aspnet,Mvc
66,imakewebthings,waypoints
67,Laverna,laverna
68,chrippa,livestreamer
69,omab,python-social-auth
70,mozilla,shumway
71,WP-API,WP-API
72,coolwanglu,pdf2htmlEX
73,ericdrowell,KineticJS
74,CSSLint,csslint
75,desandro,masonry
76,davezuko,react-redux-starter-kit
77,cubiq,iscroll
78,Compass,compass
79,babun,babun
80,ducksboard,gridster.js
81,liftoff,GateOne
82,CodisLabs,codis
83,thoughtbot,paperclip
84,deis,deis
85,utom,sketch-measure
86,ibireme,YYText
87,node-inspector,node-inspector
88,jdorn,json-editor
89,puphpet,puphpet
90,Reactive-Extensions,RxJS
91,este,este
92,inconshreveable,ngrok
93,kelseyhightower,confd
94,gabrielemariotti,cardslib
95,jfeinstein10,SlidingMenu
96,go-lang-plugin-org,go-lang-idea-plugin
97,angular-ui,bootstrap
98,patrickkunka,mixitup
99,react-toolbox,react-toolbox
100,VundleVim,Vundle.vim
101,marmelab,ng-admin
102,amsul,pickadate.js
103,nicklockwood,iCarousel
104,RestKit,RestKit
105,Netflix,Hystrix
106,morrisjs,morris.js
107,segmentio,nightmare
108,twbs,ratchet
109,brave,browser-laptop
110,hammerjs,hammer.js
111,twitter,typeahead.js
112,John-Lluch,SWRevealViewController
113,spf13,spf13-vim
